"Season","Name","Team","G","AB","PA","H","R","RBI","HR","BB","SO","IBB","AVG","OBP","SLG","OPS","wRC+","WAR","OBP+","TTO%","playerid"
"2004","Craig Biggio","Astros","156","633","700","178","100","63","24","40","94","0",".281",".337",".469",".806","107","1.3","99","22.6 %","549"
"2005","Jose Guillen","Nationals","148","551","611","156","81","76","24","31","102","6",".283",".338",".479",".817","114","3.7","100","25.7 %","57"
"2007","Randy Winn","Giants","155","593","653","178","73","65","14","44","85","3",".300",".353",".445",".798","106","2.4","103","21.9 %","1235"
"2003","Luis Castillo","Marlins","152","595","676","187","99","39","6","63","60","0",".314",".381",".397",".778","113","4.9","112","19.1 %","513"
"2015","Yunel Escobar","Nationals","139","535","591","168","75","56","9","45","70","0",".314",".375",".415",".790","120","2.3","116","21.0 %","4191"
"2017","Steven Souza Jr.","Rays","148","523","617","125","78","78","30","84","179","2",".239",".351",".459",".810","120","3.7","108","47.5 %","5667"
"1999","Raul Mondesi","Dodgers","159","601","680","152","98","99","33","71","134","6",".253",".332",".483",".815","107","2.0","95","35.0 %","1314"
"2003","Placido Polanco","Phillies","122","492","554","142","87","63","14","42","38","1",".289",".352",".447",".799","111","3.9","103","17.0 %","1176"
"2018","Justin Upton","Angels","145","533","613","137","80","85","30","64","176","1",".257",".344",".463",".808","124","3.1","108","44.1 %","5222"
"1997","Butch Huskey","Mets","142","471","505","135","61","81","24","25","84","5",".287",".319",".503",".822","111","1.2","93","26.3 %","1006228"
"2007","Luis Gonzalez","Dodgers","139","464","526","129","70","68","15","56","56","4",".278",".359",".433",".793","109","0.6","105","24.1 %","55"
"2018","Matt Kemp","Dodgers","146","462","506","134","62","85","21","36","115","2",".290",".338",".481",".818","122","1.6","103","34.0 %","5631"
"2004","Vernon Wells","Blue Jays","134","536","590","146","82","67","23","51","83","2",".272",".337",".472",".809","106","4.0","100","26.6 %","1326"
"1996","Mark McLemore","Rangers","147","517","611","150","84","46","5","87","69","5",".290",".389",".379",".768","98","4.1","111","26.4 %","1088"
"2017","Christian Yelich","Marlins","156","602","695","170","100","81","18","80","137","4",".282",".369",".439",".807","118","4.6","111","33.8 %","11477"
"2003","Travis Lee","Devil Rays","145","542","613","149","75","70","19","64","97","4",".275",".348",".459",".807","112","3.4","104","29.4 %","958"
"2006","Orlando Hudson","Diamondbacks","157","579","650","166","87","67","15","61","78","5",".287",".354",".454",".809","102","1.9","103","23.7 %","1307"
"2001","Pat Burrell","Phillies","155","539","618","139","70","89","27","70","162","7",".258",".346",".469",".816","110","1.1","102","41.9 %","949"
"2007","Michael Cuddyer","Twins","144","547","623","151","87","81","16","64","107","1",".276",".356",".433",".790","111","2.3","105","30.0 %","1534"
"2003","Joe Randa","Royals","131","502","566","146","80","72","16","41","61","0",".291",".348",".452",".800","106","2.4","104","20.9 %","623"
"2011","Yunel Escobar","Blue Jays","133","513","590","149","77","48","11","61","70","1",".290",".369",".413",".782","116","3.6","114","24.1 %","4191"
"2015","Mitch Moreland","Rangers","132","471","515","131","51","85","23","32","112","2",".278",".330",".482",".812","117","2.2","104","32.4 %","3086"
"2007","Adam LaRoche","Pirates","152","563","632","153","71","88","21","62","131","5",".272",".345",".458",".803","107","1.9","101","33.9 %","1904"
"2009","Nate McLouth","- - -","129","507","591","130","86","70","20","68","99","1",".256",".352",".436",".788","112","3.2","104","31.6 %","3190"
"2016","Xander Bogaerts","Red Sox","157","652","719","192","115","89","21","58","123","0",".294",".356",".446",".802","114","4.9","111","28.1 %","12161"
"2011","Chipper Jones","Braves","126","455","512","125","56","70","18","51","80","10",".275",".344",".470",".814","120","1.8","105","29.1 %","97"
"2003","Orlando Cabrera","Expos","162","626","691","186","95","80","17","52","64","3",".297",".347",".460",".807","106","4.2","102","19.3 %","766"
"2002","Brian Jordan","Dodgers","128","471","515","134","65","80","18","34","86","3",".285",".338",".469",".807","117","2.5","99","26.8 %","658"
"2011","Freddie Freeman","Braves","157","571","635","161","67","76","21","53","142","3",".282",".346",".448",".795","120","0.6","106","34.0 %","5361"
"2002","Johnny Damon","Red Sox","154","623","702","178","118","63","14","65","70","5",".286",".356",".443",".799","110","4.4","107","21.2 %","185"
"2016","Michael Saunders","Blue Jays","140","490","558","124","70","57","24","59","157","2",".253",".338",".478",".815","119","1.6","105","43.0 %","9981"
"2004","Carlos Pena","Tigers","142","481","562","116","89","82","27","70","146","2",".241",".338",".472",".810","112","2.0","100","43.2 %","934"
"2005","Alfonso Soriano","Rangers","156","637","682","171","102","104","36","33","125","3",".268",".309",".512",".821","108","2.4","94","28.5 %","847"
"2014","Dexter Fowler","Astros","116","434","505","120","61","35","8","66","108","2",".276",".375",".399",".774","126","2.1","119","36.0 %","4062"
"2010","Bobby Abreu","Angels","154","573","667","146","88","78","20","87","132","3",".255",".352",".435",".787","119","2.4","107","35.8 %","945"
"2018","Jed Lowrie","Athletics","157","596","680","159","78","99","23","78","128","1",".267",".353",".448",".801","122","4.9","111","33.7 %","4418"
"1999","Jason Varitek","Red Sox","144","483","544","130","70","76","20","46","85","2",".269",".330",".482",".813","101","2.2","95","27.8 %","217"
"2007","J.D. Drew","Red Sox","140","466","552","126","84","64","11","79","100","10",".270",".373",".423",".796","107","2.0","110","34.4 %","1152"
"2002","Ichiro Suzuki","Mariners","157","647","728","208","111","51","8","68","62","27",".321",".388",".425",".813","118","4.7","117","19.0 %","1101"
"2008","Kelly Johnson","Braves","150","547","614","157","86","69","12","52","113","2",".287",".349",".446",".795","110","2.6","103","28.8 %","2234"
"1996","Wally Joyner","Padres","121","433","510","120","59","65","8","69","71","7",".277",".377",".404",".781","116","2.8","111","29.0 %","1006637"
"2000","Dean Palmer","Tigers","145","524","604","134","73","102","29","66","146","2",".256",".338",".471",".809","104","0.5","97","39.9 %","482"
"1999","Warren Morris","Pirates","147","511","581","147","65","73","15","59","88","3",".288",".360",".427",".787","100","1.9","103","27.9 %","1424"
"2015","Jose Altuve","Astros","154","638","689","200","86","66","15","33","67","8",".313",".353",".459",".812","124","4.4","111","16.7 %","5417"
"2016","Jason Kipnis","Indians","156","610","688","168","91","82","23","60","146","0",".275",".343",".469",".811","114","4.7","106","33.3 %","9776"
"2008","Jhonny Peralta","Indians","154","605","664","167","104","89","23","48","126","2",".276",".331",".473",".804","112","3.3","98","29.7 %","1738"
"1995","Rusty Greer","Rangers","131","417","478","113","58","61","13","55","66","1",".271",".355",".424",".780","101","1.4","103","28.0 %","1252"
"2018","Andrew McCutchen","- - -","155","569","682","145","83","65","20","95","145","1",".255",".368",".424",".792","120","2.6","113","38.1 %","9847"
"2008","Jason Kubel","Twins","141","463","517","126","74","78","20","47","91","2",".272",".335",".471",".805","112","0.6","100","30.6 %","2161"
"2004","Matt Lawton","Indians","150","591","680","164","109","70","20","74","84","3",".277",".366",".421",".787","111","0.6","108","26.2 %","390"
"2004","Bernie Williams","Yankees","148","561","651","147","105","70","22","85","96","5",".262",".360",".435",".795","110","-0.2","106","31.2 %","857"
"2017","Jed Lowrie","Athletics","153","567","645","157","86","69","14","73","100","2",".277",".360",".448",".808","119","3.6","111","29.0 %","4418"
"2012","Derek Jeter","Yankees","159","683","740","216","99","58","15","45","90","1",".316",".362",".429",".791","117","3.3","113","20.3 %","826"
"2010","Casey McGehee","Brewers","157","610","670","174","70","104","23","50","102","5",".285",".337",".464",".801","113","2.8","102","26.1 %","6086"
"1995","Al Martin","Pirates","124","439","486","124","70","41","13","44","92","6",".282",".351",".442",".792","106","1.0","103","30.7 %","1167"
"2010","J.D. Drew","Red Sox","139","478","546","122","69","68","22","60","105","3",".255",".341",".452",".793","110","2.3","104","34.3 %","1152"
"2018","C.J. Cron","Rays","140","501","560","127","68","74","30","37","145","2",".253",".323",".493",".816","122","2.1","101","37.9 %","12546"
"1995","Gregg Jefferies","Phillies","114","480","521","147","69","56","11","35","26","5",".306",".349",".448",".797","108","1.6","103","13.8 %","1006379"
"1998","Brady Anderson","Orioles","133","479","574","113","84","51","18","75","78","1",".236",".356",".420",".776","108","0.7","105","29.8 %","364"
"2002","Mike Lieberthal","Phillies","130","476","530","133","46","52","15","38","58","2",".279",".349",".443",".792","112","3.1","103","20.9 %","959"
"2003","Mark Teixeira","Rangers","146","529","589","137","66","84","26","44","120","5",".259",".331",".480",".811","105","1.7","99","32.3 %","1281"
"2009","Jermaine Dye","White Sox","141","503","574","126","78","81","27","64","108","2",".250",".340",".453",".793","105","-0.8","101","34.7 %","911"
"1997","Dave Nilsson","Brewers","156","554","629","154","71","81","20","65","88","8",".278",".352",".446",".798","104","1.4","103","27.5 %","1009601"
"2008","Casey Blake","- - -","152","536","601","147","71","81","21","49","120","11",".274",".345",".463",".808","111","2.3","102","31.6 %","719"
"2017","Lorenzo Cain","Royals","155","584","645","175","86","49","15","54","100","1",".300",".363",".440",".803","115","4.3","112","26.2 %","9077"
"2013","Dustin Pedroia","Red Sox","160","641","724","193","91","84","9","73","75","4",".301",".372",".415",".787","114","4.9","116","21.7 %","8370"
"2006","Jamey Carroll","Rockies","136","463","534","139","84","36","5","56","66","1",".300",".377",".404",".781","97","2.7","110","23.8 %","1591"
"2005","Jason Lane","Astros","145","517","561","138","65","78","26","32","105","1",".267",".316",".499",".815","109","1.1","93","29.1 %","1397"
"2004","Jimmy Rollins","Phillies","154","657","725","190","119","73","14","57","73","3",".289",".348",".455",".803","105","5.0","102","19.9 %","971"
"1998","Edgardo Alfonzo","Mets","144","557","630","155","94","78","17","65","77","1",".278",".355",".427",".782","112","3.0","105","25.2 %","859"
"2011","Jeff Francoeur","Royals","153","601","656","171","77","87","20","37","123","3",".285",".329",".476",".805","115","2.7","102","27.4 %","4792"
"1999","Royce Clayton","Rangers","133","465","520","134","69","52","14","39","100","1",".288",".346",".445",".792","98","2.8","100","29.4 %","226"
"2007","Miguel Tejada","Orioles","133","514","569","152","72","81","18","41","55","9",".296",".357",".442",".799","108","1.9","106","20.0 %","941"
"2009","Marlon Byrd","Rangers","146","547","599","155","66","89","20","32","98","2",".283",".329",".479",".808","103","1.3","98","25.0 %","950"
"1998","Jay Bell","Diamondbacks","155","549","645","138","79","67","20","81","129","3",".251",".353",".432",".785","106","3.4","104","35.7 %","48"
"2007","Kenny Lofton","- - -","136","490","559","145","86","38","7","56","51","1",".296",".367",".414",".781","108","2.9","108","20.4 %","246"
"2003","Kenny Lofton","- - -","140","547","610","162","97","46","12","46","51","3",".296",".352",".450",".801","108","3.9","103","17.9 %","246"
"2001","Shane Halter","Tigers","136","450","507","128","53","65","12","37","100","2",".284",".344",".467",".811","115","2.9","103","29.4 %","468"
"2013","Torii Hunter","Tigers","144","606","652","184","90","84","17","26","113","0",".304",".334",".465",".800","118","3.1","104","23.9 %","731"
"2005","Juan Encarnacion","Marlins","141","506","563","145","59","76","16","41","104","2",".287",".349",".447",".795","112","1.5","103","28.6 %","320"
"1999","Greg Norton","White Sox","132","436","510","111","62","50","16","69","93","3",".255",".358",".424",".782","101","-0.5","103","34.9 %","1388"
"2015","Carlos Beltran","Yankees","133","478","531","132","57","67","19","45","85","2",".276",".337",".471",".808","119","1.8","106","28.1 %","589"
"2015","Adam Eaton","White Sox","153","610","689","175","98","56","14","58","131","2",".287",".361",".431",".792","121","3.9","113","29.5 %","11205"
"2003","Mark Grudzielanek","Cubs","121","481","531","151","73","38","3","30","64","0",".314",".366",".416",".782","108","2.3","108","18.3 %","653"
"2018","Johan Camargo","Braves","134","464","524","126","63","76","19","51","108","4",".272",".349",".457",".806","115","3.3","107","34.0 %","14950"
"2004","Milton Bradley","Dodgers","141","516","597","138","72","67","19","71","123","3",".267",".362",".424",".786","110","3.3","106","35.7 %","369"
"1998","Raul Mondesi","Dodgers","148","580","617","162","85","90","30","30","112","4",".279",".316",".497",".813","114","2.2","93","27.9 %","1314"
"2018","Edwin Encarnacion","Indians","137","500","579","123","74","107","32","63","132","2",".246",".336",".474",".810","115","1.0","105","39.2 %","2151"
"2014","Kyle Seager","Mariners","159","590","654","158","71","96","25","52","118","3",".268",".334",".454",".788","127","5.2","106","29.8 %","9785"
"2010","Ike Davis","Mets","147","523","601","138","73","71","19","72","138","6",".264",".351",".440",".791","116","2.8","106","38.1 %","8433"
"2007","Dan Uggla","Marlins","159","632","728","155","113","88","31","68","167","0",".245",".326",".479",".805","106","2.4","95","36.5 %","3442"
"1995","Chad Curtis","Tigers","144","586","670","157","96","67","21","70","93","3",".268",".349",".435",".784","103","1.6","101","27.5 %","1002898"
"2010","Brett Gardner","Yankees","150","477","569","132","97","47","5","79","101","1",".277",".383",".379",".762","112","6.2","117","32.5 %","9927"
"2005","Luis Castillo","Marlins","122","439","524","132","72","30","4","65","32","1",".301",".391",".374",".765","112","3.8","115","19.3 %","513"
"2013","Adrian Gonzalez","Dodgers","157","583","641","171","69","100","22","47","98","6",".293",".342",".461",".803","124","2.3","106","26.1 %","1908"
"2012","Adam Dunn","White Sox","151","539","649","110","87","96","41","105","222","3",".204",".333",".468",".800","115","2.1","104","56.7 %","319"
"2009","Mike Cameron","Brewers","149","544","628","136","78","70","24","75","156","3",".250",".342",".452",".795","110","4.1","101","40.6 %","1070"
"2016","Chris Carter","Brewers","160","549","644","122","84","94","41","76","206","1",".222",".321",".499",".821","113","1.0","97","50.2 %","9911"
"2008","Jorge Cantu","Marlins","155","628","685","174","92","95","29","40","111","6",".277",".327",".481",".808","107","2.6","96","26.3 %","2521"
"2018","Eduardo Escobar","- - -","151","566","631","154","75","84","23","52","126","8",".272",".334",".489",".824","117","3.5","104","31.9 %","6153"
"2009","Grady Sizemore","Indians","106","436","503","108","73","64","18","60","92","1",".248",".343",".445",".788","109","2.1","102","33.8 %","2197"
"2000","Albert Belle","Orioles","141","559","622","157","71","103","23","52","68","11",".281",".342",".474",".817","104","0.9","98","23.0 %","1000802"
"2001","Jermaine Dye","- - -","158","599","675","169","91","106","26","57","112","6",".282",".346",".467",".813","108","2.0","103","28.9 %","911"
"2006","Aubrey Huff","- - -","131","454","517","121","57","66","21","50","64","6",".267",".344",".469",".813","107","1.1","101","26.1 %","1213"
"2014","Alex Gordon","Royals","156","563","643","150","87","74","19","65","126","5",".266",".351",".432",".783","120","5.4","111","32.7 %","5209"
"1996","Brian McRae","Cubs","157","624","716","172","111","66","17","73","84","6",".276",".360",".425",".785","108","3.6","106","24.3 %","1008686"
"2006","Mike Lowell","Red Sox","153","573","631","163","79","80","20","47","61","5",".284",".339",".475",".814","103","2.5","100","20.3 %","527"
"2001","John Vander Wal","- - -","146","452","527","122","58","70","14","68","122","9",".270",".364",".442",".806","108","1.0","107","38.7 %","853"
"2017","Cesar Hernandez","Phillies","128","511","577","150","85","34","9","61","104","1",".294",".373",".421",".793","112","3.4","112","30.2 %","10556"
"2008","Alex Rios","Blue Jays","155","635","687","185","91","79","15","44","112","2",".291",".337",".461",".798","110","5.5","100","24.9 %","2090"
"2008","Fred Lewis","Giants","133","468","521","132","81","40","9","51","124","3",".282",".351",".440",".791","107","2.3","104","35.3 %","4693"
"2006","Jimmy Rollins","Phillies","158","689","758","191","127","83","25","57","80","2",".277",".334",".478",".811","103","4.3","97","21.4 %","971"
"1995","Jeff King","Pirates","122","445","509","118","61","87","18","55","63","5",".265",".342",".456",".798","105","2.7","101","26.7 %","1006931"
"1996","Omar Vizquel","Indians","151","542","623","161","98","64","9","56","42","0",".297",".362",".417",".779","98","3.2","103","17.2 %","411"
"2007","Michael Young","Rangers","156","639","692","201","80","94","9","47","107","5",".315",".366",".418",".783","105","2.1","108","23.6 %","1286"
"2003","Rafael Furcal","Braves","156","664","734","194","130","61","15","60","76","2",".292",".352",".443",".794","107","4.0","103","20.6 %","88"
"2012","Adrian Gonzalez","- - -","159","629","684","188","75","108","18","42","110","5",".299",".344",".463",".806","116","3.1","107","24.9 %","1908"
"2012","Mark Trumbo","Angels","144","544","586","146","66","95","32","36","153","3",".268",".317",".491",".808","124","2.9","99","37.7 %","6876"
"2011","Logan Morrison","Marlins","123","462","525","114","54","72","23","54","99","3",".247",".330",".468",".797","116","0.8","101","33.5 %","9205"
"2002","Bret Boone","Mariners","155","608","675","169","88","107","24","53","102","4",".278",".339",".462",".801","116","3.9","102","26.5 %","1067"
"2015","Jason Heyward","Cardinals","154","547","610","160","79","60","13","56","90","4",".293",".359",".439",".797","121","5.6","111","26.1 %","4940"
"2012","Curtis Granderson","Yankees","160","596","684","138","102","106","43","75","195","4",".232",".319",".492",".811","116","4.0","100","45.8 %","4747"
"2014","Chris Carter","Astros","145","507","572","115","68","88","37","56","182","6",".227",".308",".491",".799","125","1.9","97","48.1 %","9911"
"1996","Jose Valentin","Brewers","154","552","628","143","90","95","24","66","145","9",".259",".336",".475",".811","96","4.0","96","37.4 %","256"
"1998","Mickey Morandini","Cubs","154","582","669","172","93","53","8","72","84","4",".296",".380",".385",".765","107","4.0","112","24.5 %","1009151"
"2004","Juan Pierre","Marlins","162","678","748","221","100","49","3","45","35","1",".326",".374",".407",".781","110","4.0","110","11.1 %","443"
"2016","Asdrubal Cabrera","Mets","141","521","568","146","65","62","23","38","103","3",".280",".336",".474",".810","120","3.6","102","28.9 %","4962"
"2006","Nick Markakis","Orioles","147","491","542","143","72","62","16","43","72","3",".291",".351",".448",".799","106","2.0","103","24.2 %","5930"
"2008","Randy Winn","Giants","155","598","667","183","84","64","10","59","88","6",".306",".363",".426",".790","107","5.1","107","23.5 %","1235"
"1998","Todd Zeile","- - -","158","572","653","155","85","94","19","69","90","2",".271",".350",".437",".787","108","2.3","103","27.3 %","457"
"2011","Andre Ethier","Dodgers","135","487","551","142","67","62","11","58","103","9",".292",".368",".421",".789","122","3.0","113","31.2 %","6265"
"1999","Vinny Castilla","Rockies","158","615","674","169","83","102","33","53","75","7",".275",".331",".478",".809","78","0.6","94","23.9 %","84"
"2012","Martin Prado","Braves","156","617","690","186","81","70","10","58","69","2",".301",".359",".438",".796","117","4.5","110","19.9 %","3312"
"1999","Tino Martinez","Yankees","159","589","665","155","95","105","28","69","86","7",".263",".341",".458",".800","103","2.4","98","27.5 %","1168"
"2013","Billy Butler","Royals","162","582","668","168","62","82","15","79","102","11",".289",".374",".412",".787","117","1.0","117","29.3 %","7399"
"2010","Gaby Sanchez","Marlins","151","572","643","156","72","85","19","57","101","2",".273",".341",".448",".788","111","1.7","103","27.5 %","3361"
"2016","Stephen Piscotty","Cardinals","153","582","649","159","86","85","22","51","133","0",".273",".343",".457",".800","116","1.9","104","31.7 %","13367"
"2018","Cody Bellinger","Dodgers","162","557","632","145","84","76","25","69","151","9",".260",".343",".470",".814","120","3.6","105","38.8 %","15998"
"2008","Matt Kemp","Dodgers","155","606","657","176","93","76","18","46","153","6",".290",".340",".459",".799","109","3.3","100","33.0 %","5631"
"2012","Mark Teixeira","Yankees","123","451","524","113","66","84","24","54","83","1",".251",".332",".475",".807","116","2.7","104","30.7 %","1281"
"1996","Todd Hollandsworth","Dodgers","149","478","526","139","64","59","12","41","93","1",".291",".348",".437",".785","117","1.2","103","27.8 %","433"
"2007","Jason Varitek","Red Sox","131","435","518","111","57","68","17","71","122","9",".255",".367",".421",".787","105","2.6","108","40.5 %","217"
"1996","Luis Gonzalez","Cubs","146","483","555","131","70","79","15","61","49","8",".271",".354",".443",".797","108","2.7","104","22.5 %","55"
"2013","Jonathan Lucroy","Brewers","147","521","580","146","59","82","18","46","69","2",".280",".340",".455",".795","116","6.8","105","22.9 %","7870"
"2002","Adam Kennedy","Angels","144","474","509","148","65","52","7","19","80","1",".312",".345",".449",".795","111","3.4","104","20.8 %","19"
"2000","Jay Bell","Diamondbacks","149","565","649","151","87","68","18","70","88","0",".267",".348",".437",".786","97","1.3","99","27.1 %","48"
"2015","Charlie Blackmon","Rockies","157","614","682","176","93","58","17","46","112","2",".287",".347",".450",".797","103","2.5","107","25.7 %","7859"
"2009","Miguel Tejada","Astros","158","635","674","199","83","86","14","19","48","2",".313",".340",".455",".795","110","1.8","100","12.0 %","941"
"2003","Marlon Byrd","Phillies","135","495","553","150","86","45","7","44","94","3",".303",".366",".418",".784","109","3.6","108","26.2 %","950"
"2013","Jed Lowrie","Athletics","154","603","662","175","80","75","15","50","91","3",".290",".344",".446",".791","120","3.4","107","23.6 %","4418"
"2008","Luke Scott","Orioles","148","475","536","122","67","65","23","53","102","10",".257",".336",".472",".807","106","2.1","100","33.2 %","3469"
"2005","Shea Hillenbrand","Blue Jays","152","594","645","173","91","82","18","26","79","2",".291",".343",".449",".792","109","2.1","104","19.1 %","196"
"2007","Jose Vidro","Mariners","147","548","625","172","78","59","6","63","57","5",".314",".381",".394",".775","111","1.0","112","20.2 %","802"
"2016","Yasmany Tomas","Diamondbacks","140","530","563","144","72","83","31","31","136","4",".272",".313",".508",".820","109","0.5","95","35.2 %","17171"
"2017","Mike Moustakas","Royals","148","555","598","151","75","85","38","34","94","7",".272",".314",".521",".835","114","2.1","97","27.8 %","4892"
"2005","Raul Ibanez","Mariners","162","614","690","172","92","89","20","71","99","6",".280",".355",".436",".792","115","2.1","107","27.5 %","607"
"2018","Nick Markakis","Braves","162","623","705","185","78","93","14","72","80","10",".297",".366",".440",".806","114","2.6","112","23.6 %","5930"
"2000","Garret Anderson","Angels","159","647","681","185","92","117","35","24","87","5",".286",".307",".519",".827","99","2.2","88","21.4 %","2"
"1999","Richie Sexson","Indians","134","479","525","122","72","116","31","34","117","0",".255",".305",".514",".818","98","0.4","88","34.7 %","709"
"2012","Cody Ross","Red Sox","130","476","528","127","70","81","22","42","129","3",".267",".326",".481",".807","114","2.7","102","36.6 %","1760"
"2017","Yuli Gurriel","Astros","139","529","564","158","69","75","18","22","62","1",".299",".332",".486",".817","119","1.8","102","18.1 %","19198"
"2016","Elvis Andrus","Rangers","147","506","568","153","75","69","8","47","70","2",".302",".362",".439",".800","109","2.3","112","22.0 %","8709"
"2004","Scott Hatteberg","Athletics","152","550","638","156","87","82","15","72","48","5",".284",".367",".420",".787","107","1.2","108","21.2 %","916"
"2013","Jay Bruce","Reds","160","626","697","164","89","109","30","63","185","13",".262",".329",".478",".807","117","4.0","102","39.9 %","9892"
"2003","Miguel Tejada","Athletics","162","636","703","177","98","106","27","53","65","7",".278",".336",".472",".807","109","3.4","101","20.6 %","941"
"2000","Mark Kotsay","Marlins","152","530","578","158","87","57","12","42","46","2",".298",".347",".443",".791","102","2.5","99","17.3 %","1042"
"1997","Jeff King","Royals","155","543","647","129","84","112","28","89","96","4",".238",".341",".451",".792","103","3.4","100","32.9 %","1006931"
"2008","Cody Ross","Marlins","145","461","506","120","59","73","22","33","116","2",".260",".316",".488",".804","106","3.5","93","33.8 %","1760"
"2011","J.J. Hardy","Orioles","129","527","567","142","76","80","30","31","92","3",".269",".310",".491",".801","113","4.5","96","27.0 %","3797"
"2012","Dustin Pedroia","Red Sox","141","563","623","163","81","65","15","48","60","3",".290",".347",".449",".797","114","4.3","108","19.7 %","8370"
"1999","Garret Anderson","Angels","157","620","660","188","88","80","21","34","81","8",".303",".336",".469",".806","98","2.4","97","20.6 %","2"
"2008","Derek Jeter","Yankees","150","596","668","179","88","69","11","52","85","0",".300",".363",".408",".771","109","3.4","108","22.2 %","826"
"2013","Starling Marte","Pirates","135","510","566","143","83","35","12","25","138","2",".280",".343",".441",".784","122","4.3","106","30.9 %","9241"
"1999","Luis Castillo","Marlins","128","487","563","147","76","28","0","67","85","0",".302",".384",".366",".750","102","1.8","109","27.0 %","513"
"1996","Todd Zeile","- - -","163","617","704","162","78","99","25","82","104","4",".263",".348",".436",".784","105","1.6","102","30.0 %","457"
"2004","Torii Hunter","Twins","138","520","569","141","79","81","23","40","101","4",".271",".330",".475",".805","106","2.6","98","28.8 %","731"
"2002","Ben Grieve","Devil Rays","136","482","561","121","62","64","19","69","121","5",".251",".353",".432",".784","110","0.9","106","37.3 %","1209"
"2010","Alex Rios","White Sox","147","567","617","161","89","88","21","38","93","4",".284",".334",".457",".791","109","3.3","102","24.6 %","2090"
"1995","Glenallen Hill","Giants","132","497","539","131","71","86","24","39","98","4",".264",".317",".483",".800","109","1.9","93","29.9 %","1005820"
"1995","Paul Molitor","Blue Jays","130","525","598","142","63","60","15","61","57","1",".270",".350",".423",".772","102","1.0","102","22.2 %","1009040"
"2007","Jermaine Dye","White Sox","138","508","561","129","68","78","28","45","107","2",".254",".317",".486",".804","104","-1.2","94","32.1 %","911"
"2012","Carlos Santana","Indians","143","507","609","128","72","76","18","91","101","4",".252",".365",".420",".785","120","0.1","114","34.5 %","2396"
"2008","Lyle Overbay","Blue Jays","158","544","630","147","74","69","15","74","116","3",".270",".358",".419",".777","108","1.6","106","32.5 %","1617"
"2004","Mike Piazza","Mets","129","455","528","121","47","54","20","68","78","14",".266",".362",".444",".806","108","0.5","106","31.4 %","893"
"1997","Derek Bell","Astros","129","493","547","136","67","71","15","40","94","3",".276",".344",".438",".782","110","2.9","100","27.2 %","1000801"
"2010","Curtis Granderson","Yankees","136","466","528","115","76","67","24","53","116","3",".247",".324",".468",".792","110","4.0","99","36.6 %","4747"
"2011","Asdrubal Cabrera","Indians","151","604","667","165","87","92","25","44","119","5",".273",".332",".460",".792","119","3.7","103","28.2 %","4962"
"2012","Nori Aoki","Brewers","151","520","588","150","81","50","10","43","55","1",".288",".355",".433",".787","113","2.4","109","18.4 %","13075"
"2016","Adam Eaton","White Sox","157","619","706","176","91","59","14","63","115","2",".284",".362",".428",".790","117","5.9","112","27.2 %","11205"
"2008","Cristian Guzman","Nationals","138","579","612","183","77","55","9","23","57","1",".316",".345",".440",".786","106","2.8","102","14.5 %","728"
"2017","Elvis Andrus","Rangers","158","643","689","191","100","88","20","38","101","0",".297",".337",".471",".808","107","4.1","104","23.1 %","8709"
"2009","Adam Jones","Orioles","119","473","519","131","83","70","19","36","93","3",".277",".335",".457",".792","103","1.5","100","28.5 %","6368"
"2014","Jhonny Peralta","Cardinals","157","560","628","147","61","75","21","58","112","2",".263",".336",".443",".779","120","4.6","105","30.4 %","1738"
"2007","Adrian Beltre","Mariners","149","595","639","164","87","99","26","38","104","2",".276",".319",".482",".802","110","2.9","94","26.3 %","639"
"2002","Jermaine Dye","Athletics","131","488","555","123","74","86","24","52","108","2",".252",".333",".459",".792","111","0.2","101","33.2 %","911"
"2005","Jorge Cantu","Devil Rays","150","598","631","171","73","117","28","19","83","1",".286",".311",".497",".808","112","1.1","94","20.6 %","2521"
"1995","Jeff Kent","Mets","125","472","514","131","65","65","20","29","89","3",".278",".327",".464",".791","108","2.8","96","26.9 %","1119"
"2000","Eric Young","Cubs","153","607","690","180","98","47","6","63","39","1",".297",".367",".399",".766","100","3.6","105","15.7 %","716"
"2005","Carl Crawford","Devil Rays","156","644","687","194","101","81","15","27","84","1",".301",".331",".469",".800","112","4.8","100","18.3 %","1201"
"2011","Edwin Encarnacion","Blue Jays","134","481","530","131","70","55","17","43","77","2",".272",".334",".453",".787","113","0.7","103","25.9 %","2151"
"2007","Ty Wigginton","- - -","148","547","604","152","71","67","22","41","113","0",".278",".333",".459",".792","107","1.0","98","29.1 %","1491"
"2009","Jorge Cantu","Marlins","149","585","643","169","67","100","16","47","81","4",".289",".345",".443",".788","106","0.9","102","22.4 %","2521"
"2010","Derrek Lee","- - -","148","547","626","142","80","80","19","73","134","1",".260",".347",".428",".774","109","1.3","104","36.1 %","525"
"2016","Bryce Harper","Nationals","147","506","627","123","84","86","24","108","117","20",".243",".373",".441",".814","111","2.9","113","39.7 %","11579"
"2010","Omar Infante","Braves","134","471","506","151","65","47","8","29","62","1",".321",".359",".416",".775","111","2.0","108","19.6 %","1609"
"2009","David DeJesus","Royals","144","558","627","157","74","71","13","51","87","0",".281",".347",".434",".781","105","3.6","103","24.1 %","1825"
"2005","Ryan Klesko","Padres","137","443","520","110","61","58","18","75","80","2",".248",".358",".418",".775","115","1.5","106","33.3 %","1041"
