"Season","Name","Team","G","AB","PA","H","R","RBI","HR","BB","SO","IBB","AVG","OBP","SLG","OPS","wRC+","WAR","OBP+","TTO%","playerid"
"2014","Andrew McCutchen","Pirates","146","548","648","172","89","83","25","84","115","8",".314",".410",".542",".952","168","7.4","128","34.6 %","9847"
"2002","Lance Berkman","Astros","158","578","692","169","106","128","42","107","118","20",".292",".405",".578",".982","149","6.1","119","38.6 %","548"
"2014","Victor Martinez","Tigers","151","561","641","188","87","103","32","70","42","28",".335",".409",".565",".974","168","4.5","129","22.5 %","393"
"2005","Manny Ramirez","Red Sox","152","554","650","162","112","144","45","80","119","9",".292",".388",".594",".982","152","2.9","117","37.5 %","210"
"2004","Vladimir Guerrero","Angels","156","612","680","206","124","126","39","52","74","14",".337",".391",".598",".989","154","5.9","116","24.3 %","778"
"2014","Jose Abreu","White Sox","145","556","622","176","80","107","36","51","131","15",".317",".383",".581",".964","167","5.3","121","35.1 %","15676"
"1999","Shawn Green","Blue Jays","153","614","696","190","134","123","42","66","117","4",".309",".384",".588",".972","142","6.0","110","32.3 %","651"
"1999","Carl Everett","Astros","123","464","535","151","86","108","25","50","94","5",".325",".398",".571",".969","146","5.9","113","31.6 %","1249"
"1999","Fernando Tatis","Cardinals","149","537","639","160","104","107","34","82","128","4",".298",".404",".553",".957","141","3.2","115","38.2 %","798"
"2017","Giancarlo Stanton","Marlins","159","597","692","168","123","132","59","85","163","13",".281",".376",".631","1.007","159","7.3","113","44.4 %","4949"
"2006","Matt Holliday","Rockies","155","602","667","196","119","114","34","47","110","3",".326",".387",".586",".973","139","3.5","113","28.6 %","1873"
"1995","Rafael Palmeiro","Orioles","143","554","624","172","89","104","39","62","65","5",".310",".380",".583",".963","144","5.6","110","26.6 %","1266"
"2011","Prince Fielder","Brewers","162","569","692","170","95","120","38","107","106","32",".299",".415",".566",".981","160","4.7","127","36.3 %","4613"
"2008","Mark Teixeira","- - -","157","574","685","177","102","121","33","97","93","13",".308",".410",".552",".962","152","6.9","121","32.6 %","1281"
"1998","Chipper Jones","Braves","160","601","707","188","123","107","34","96","93","1",".313",".404",".547",".951","151","7.1","119","31.5 %","97"
"1998","Manny Ramirez","Indians","150","571","663","168","108","145","45","76","121","6",".294",".377",".599",".976","144","5.4","111","36.5 %","210"
"1995","Bobby Bonilla","- - -","141","554","614","182","96","99","28","54","79","10",".329",".388",".576",".963","148","3.3","113","26.2 %","1001168"
"2008","Alex Rodriguez","Yankees","138","510","594","154","104","103","35","65","117","9",".302",".392",".573",".965","152","5.9","117","36.5 %","1274"
"2008","Matt Holliday","Rockies","139","539","623","173","107","88","25","74","104","6",".321",".409",".538",".947","141","5.9","121","32.6 %","1873"
"1998","Carlos Delgado","Blue Jays","142","530","620","155","94","115","38","73","139","13",".292",".385",".592",".978","145","5.7","113","40.3 %","1297"
"2006","Garrett Atkins","Rockies","157","602","695","198","117","120","29","79","76","6",".329",".409",".556",".965","138","5.4","119","26.5 %","1790"
"2012","Mike Trout","Angels","139","559","639","182","129","83","30","67","139","4",".326",".399",".564",".963","167","10.1","125","36.9 %","10155"
"1999","Juan Gonzalez","Rangers","144","562","629","183","114","128","39","51","105","7",".326",".378",".601",".980","139","3.6","109","31.0 %","1251"
"2000","Chipper Jones","Braves","156","579","686","180","118","111","36","95","64","10",".311",".404",".566",".970","141","6.0","115","28.4 %","97"
"2001","Phil Nevin","Padres","149","546","624","167","97","126","41","71","147","7",".306",".388",".588",".976","154","5.6","114","41.5 %","1049"
"1999","Jeromy Burnitz","Brewers","130","467","580","126","87","103","33","91","124","7",".270",".402",".561",".963","139","3.7","114","42.8 %","867"
"2016","Daniel Murphy","Nationals","142","531","582","184","88","104","25","35","57","10",".347",".390",".595",".985","154","5.6","118","20.1 %","4316"
"1999","Luis Gonzalez","Diamondbacks","153","614","693","206","112","111","26","66","63","6",".336",".403",".549",".952","137","6.6","115","22.4 %","55"
"1999","Vladimir Guerrero","Expos","160","610","674","193","102","131","42","55","62","14",".316",".378",".600",".978","139","4.5","108","23.6 %","778"
"2008","Ryan Ludwick","Cardinals","152","538","617","161","104","113","37","62","146","3",".299",".375",".591",".966","151","5.3","111","39.7 %","1260"
"2001","Edgar Martinez","Mariners","132","470","581","144","80","116","23","93","90","9",".306",".423",".543",".966","157","4.7","127","35.5 %","1086"
"1997","Tony Gwynn","Padres","149","592","651","220","97","119","17","43","28","12",".372",".409",".547",".957","153","4.2","120","13.5 %","1005166"
"1997","Bernie Williams","Yankees","129","509","591","167","107","100","21","73","80","7",".328",".408",".544",".952","149","5.1","120","29.4 %","857"
"1998","Gary Sheffield","- - -","130","437","549","132","73","85","22","95","46","12",".302",".428",".524",".952","154","3.8","126","29.7 %","114"
"2006","Carlos Beltran","Mets","140","510","617","140","127","116","41","95","99","6",".275",".388",".594",".982","148","7.8","113","38.1 %","589"
"2004","David Ortiz","Red Sox","150","582","669","175","94","139","41","75","133","8",".301",".380",".603",".983","147","4.2","112","37.2 %","745"
"1998","Ken Griffey Jr.","Mariners","161","633","720","180","120","146","56","76","121","11",".284",".365",".611",".977","144","6.6","107","35.1 %","327"
"2011","Lance Berkman","Cardinals","145","488","587","147","90","94","31","92","93","17",".301",".412",".547",".959","163","4.7","126","36.8 %","548"
"2000","Darin Erstad","Angels","157","676","747","240","121","100","25","64","82","9",".355",".409",".541",".951","140","8.7","117","22.9 %","11"
"2005","Carlos Delgado","Marlins","144","521","616","157","81","115","33","72","121","20",".301",".399",".582",".981","152","3.3","118","36.7 %","1297"
"2011","Adrian Gonzalez","Red Sox","159","630","715","213","108","117","27","74","119","20",".338",".410",".548",".957","155","6.2","127","30.8 %","1908"
"1995","Chili Davis","Angels","119","424","522","135","81","86","20","89","79","12",".318",".429",".514",".943","142","3.2","125","36.0 %","1003041"
"2009","Ben Zobrist","Rays","152","501","599","149","91","91","27","91","104","4",".297",".405",".543",".948","152","8.7","120","37.1 %","7435"
"2011","David Ortiz","Red Sox","146","525","605","162","84","96","29","78","83","12",".309",".398",".554",".953","154","3.7","123","31.4 %","745"
"2007","Mark Teixeira","- - -","132","494","575","151","86","105","30","72","112","13",".306",".400",".563",".963","146","4.4","118","37.2 %","1281"
"2009","Hanley Ramirez","Marlins","151","576","652","197","101","106","24","61","101","14",".342",".410",".543",".954","149","7.1","121","28.5 %","8001"
"2017","Freddie Freeman","Braves","117","440","514","135","84","71","28","65","95","14",".307",".403",".586",".989","150","4.4","121","36.6 %","5361"
"1999","Fred McGriff","Devil Rays","144","529","620","164","75","104","32","86","107","11",".310",".405",".552",".957","140","3.6","116","36.3 %","293"
"2001","Jeff Bagwell","Astros","161","600","717","173","126","130","39","106","135","5",".288",".397",".568",".966","143","5.2","117","39.1 %","547"
"2005","Jason Bay","Pirates","162","599","707","183","110","101","32","95","142","9",".306",".402",".559",".961","150","5.7","119","38.1 %","1717"
"1997","Rusty Greer","Rangers","157","601","690","193","112","87","26","83","87","4",".321",".405",".531",".936","141","4.2","119","28.4 %","1252"
"2006","Jason Giambi","Yankees","139","446","579","113","92","113","37","110","106","12",".253",".413",".558",".971","147","3.0","121","43.7 %","818"
"2001","Jim Edmonds","Cardinals","150","500","608","152","95","110","30","93","136","12",".304",".410",".564",".974","148","6.2","121","42.6 %","1153"
"2010","Troy Tulowitzki","Rockies","122","470","529","148","89","95","27","48","78","4",".315",".381",".568",".949","140","5.5","115","28.9 %","3531"
"2012","Buster Posey","Giants","148","530","610","178","78","103","24","69","96","7",".336",".408",".549",".957","164","10.4","125","31.0 %","9166"
"2008","Kevin Youkilis","Red Sox","145","538","621","168","91","115","29","62","108","7",".312",".390",".569",".958","146","6.2","116","32.1 %","1935"
"1996","John Jaha","Brewers","148","543","636","163","108","118","34","85","118","1",".300",".398",".543",".941","134","3.7","114","37.3 %","1006336"
"1995","Mo Vaughn","Red Sox","140","550","636","165","98","126","39","68","150","17",".300",".388",".575",".963","139","5.1","113","40.4 %","899"
"2001","Roberto Alomar","Indians","157","575","677","193","113","100","20","80","71","5",".336",".415",".541",".956","151","6.6","124","25.3 %","860"
"2011","Joey Votto","Reds","161","599","719","185","101","103","29","110","129","15",".309",".416",".531",".947","157","6.4","127","37.3 %","4314"
"2000","Tim Salmon","Angels","158","568","680","165","108","97","34","104","139","5",".290",".404",".540",".945","138","4.5","116","40.7 %","32"
"1996","Bernard Gilkey","Mets","153","571","656","181","108","117","30","73","125","7",".317",".393",".562",".955","152","7.6","116","34.8 %","1004706"
"2007","Hanley Ramirez","Marlins","154","639","706","212","125","81","29","52","95","3",".332",".386",".562",".948","144","5.2","113","24.9 %","8001"
"1998","Mike Piazza","- - -","151","561","626","184","88","111","32","58","80","14",".328",".390",".570",".960","151","6.6","115","27.2 %","893"
"2017","Jose Altuve","Astros","153","590","662","204","112","81","24","58","84","3",".346",".410",".547",".957","160","7.6","126","25.1 %","5417"
"1998","Tim Salmon","Angels","136","463","566","139","84","88","26","90","100","5",".300",".410",".533",".943","143","3.3","120","38.2 %","32"
"2000","Jorge Posada","Yankees","151","505","624","145","92","86","28","107","151","10",".287",".417",".527",".943","140","6.1","119","45.8 %","841"
"1995","John Valentin","Red Sox","135","520","621","155","108","102","27","81","67","2",".298",".399",".533",".931","138","8.2","116","28.2 %","1375"
"2005","Mark Teixeira","Rangers","162","644","730","194","112","144","43","72","124","5",".301",".379",".575",".954","147","5.9","115","32.7 %","1281"
"2000","David Justice","- - -","146","524","606","150","89","118","41","77","91","3",".286",".377",".584",".961","137","5.2","108","34.5 %","923"
"2002","Albert Pujols","Cardinals","157","590","675","185","118","127","34","72","69","13",".314",".394",".561",".955","150","5.4","116","25.9 %","1177"
"2006","Nick Johnson","Nationals","147","500","628","145","100","77","23","110","99","15",".290",".428",".520",".948","147","4.9","125","36.9 %","828"
"1995","Chuck Knoblauch","Twins","136","538","629","179","107","63","11","78","95","3",".333",".424",".487",".911","139","6.4","123","29.3 %","609"
"2003","Frank Thomas","White Sox","153","546","662","146","87","105","42","100","115","4",".267",".390",".562",".952","147","4.2","117","38.8 %","255"
"2013","Paul Goldschmidt","Diamondbacks","160","602","710","182","103","125","36","99","145","19",".302",".401",".551",".952","156","6.0","124","39.4 %","9218"
